Name,gp,min,fgp,ftp,3pm,reb,ass,stl,bl,TOs,ppg,ftm,fta,fgm,fga
De'Aaron Fox,72,36.2,.472,.744,2.6,4.6,5.8,1.9,0.4,2.7,26.6,3.95,5.31,10.02,21.24
Kevin Durant,66,36.5,.524,.859,2.2,6.5,5.0,0.9,1.2,3.2,26.7,4.17,4.85,10.17,19.4
Ja Morant,70,36.2,.478,.756,1.7,6.4,8.4,1.2,0.4,3.8,29.7,4.62,6.11,11.69,24.45
Damian Lillard,70,35.6,.431,.916,3.2,4.4,7.0,0.9,0.3,2.8,25.7,4.72,5.16,8.89,20.62
Jalen Brunson,76,35.8,.480,.846,2.7,3.7,6.7,0.9,0.2,2.4,28.4,4.64,5.48,10.53,21.94
Cade Cunningham,70,34.9,.455,.893,2.3,5.2,7.8,1.0,0.4,3.6,24.4,4.35,4.88,8.87,19.5
Desmond Bane,69,34.9,.467,.878,3.3,4.8,5.1,1.1,0.5,2.5,23.7,3.88,4.42,8.26,17.69
Devin Booker,70,36.6,.491,.883,2.4,4.6,6.5,0.9,0.4,2.7,28.6,4.81,5.45,10.7,21.78
Jaren Jackson Jr.,67,30.9,.452,.805,1.7,5.8,1.9,1.1,1.9,2.2,21.0,3.51,4.37,7.89,17.46
Paul George,67,33.1,.466,.895,3.1,5.3,3.8,1.5,0.5,2.3,22.2,3.7,4.13,7.7,16.53
Kyrie Irving,64,34.5,.496,.909,2.9,4.9,5.1,1.2,0.5,1.8,25.2,4.16,4.57,9.07,18.29
Kawhi Leonard,64,33.3,.523,.879,2.0,6.1,3.6,1.5,0.8,1.7,23.2,3.68,4.19,8.76,16.75
Paolo Banchero,76,35.9,.457,.737,1.7,7.1,5.3,0.9,0.8,3.1,24.6,3.84,5.21,9.53,20.85
Tyrese Maxey,72,36.6,.452,.866,2.9,3.6,5.9,1.0,0.4,1.6,24.9,4.25,4.91,8.87,19.63
Lauri Markkanen,70,34.1,.481,.896,3.2,8.3,2.0,0.9,0.5,1.5,23.8,3.89,4.34,8.35,17.37
Bam Adebayo,72,34.9,.528,.764,0.2,10.4,3.8,1.2,1.2,2.4,20.0,3.03,3.97,8.38,15.88
Myles Turner,74,28.1,.527,.775,1.6,7.2,1.3,0.5,2.0,1.5,17.6,2.48,3.21,6.76,12.82
Brook Lopez,72,29.7,.496,.808,1.8,5.4,1.5,0.5,2.3,1.1,13.0,1.89,2.35,4.65,9.38
Alperen Sengun,72,33.7,.536,.697,0.5,9.8,4.9,1.2,0.9,2.8,20.4,2.78,3.99,8.56,15.97
Jalen Green,79,34.0,.448,.819,3.1,5.0,3.7,0.8,0.5,2.5,24.7,4.02,4.91,8.79,19.62
Dejounte Murray,76,33.6,.460,.798,2.1,5.2,6.2,1.4,0.3,2.4,19.4,3.08,3.86,7.11,15.45
Rudy Gobert,74,33.2,.666,.644,0.0,12.8,1.3,0.7,2.0,1.6,14.0,1.51,2.34,6.25,9.38
Jamal Murray,69,32.3,.473,.846,2.5,4.1,6.5,1.0,0.5,2.2,21.0,3.38,4.0,7.56,15.98
Fred VanVleet,71,32.9,.409,.869,2.8,3.5,6.9,1.3,0.4,1.7,16.1,2.79,3.21,5.25,12.85
Julius Randle,69,35.8,.447,.762,2.1,9.8,4.8,0.7,0.6,3.2,23.3,3.72,4.89,8.74,19.55
Jalen Johnson,70,34.9,.511,.725,1.3,9.0,3.7,1.2,0.9,1.8,16.4,2.27,3.14,6.41,12.55
Nikola Vucevic,78,34.1,.490,.820,1.3,10.7,3.3,0.7,0.8,1.6,17.9,2.87,3.5,6.86,14.01
Nic Claxton,72,30.9,.646,.551,0.0,10.1,2.1,0.7,2.1,1.3,12.5,1.2,2.19,5.65,8.74
Jalen Williams,72,33.2,.537,.817,1.5,4.3,4.6,1.3,0.8,1.8,19.3,2.84,3.48,7.48,13.93
Derrick White,75,31.3,.457,.891,2.4,4.0,4.9,0.9,0.9,1.5,14.3,2.33,2.62,4.78,10.47
Jaylen Brown,74,34.0,.495,.721,2.2,5.8,3.5,1.2,0.5,2.5,23.8,3.33,4.61,9.14,18.46
D'Angelo Russell,75,33.4,.455,.828,3.0,3.2,6.5,0.9,0.3,2.2,18.3,2.84,3.42,6.23,13.7
Mikal Bridges,82,35.1,.468,.846,2.1,4.4,3.1,2.1,0.8,1.5,18.1,2.95,3.49,6.53,13.94
Miles Bridges,74,36.8,.471,.813,2.2,7.2,3.5,0.9,0.6,2.0,20.8,3.3,4.06,7.65,16.24
Jrue Holiday,72,33.1,.483,.833,2.1,5.3,5.6,1.0,0.7,2.1,14.4,2.18,2.62,5.06,10.47
