Name,ppg,rpg,apg,spg,bpg,fgm,fga,fg%,TO,FG3M,FG3A,FTM,FTA,ft%,3PT%,egp
Ayo Dosunmu,8.5875,2.75,2.575,0.775,0.325,3.5125,7.125,49.29824561403509,1.2375,0.7375,2.3625,0.825,1.025,80.48780487804879,31.216931216931226,75
Kris Dunn,13.181818181818182,4.545454545454546,5.636363636363637,1.1363636363636365,0.4545454545454545,5.2727272727272725,9.818181818181818,53.703703703703695,1.5909090909090908,0.7727272727272727,1.6363636363636365,1.8636363636363635,2.409090909090909,77.35849056603773,47.22222222222221,75
Kevin Durant,29.06382978723404,6.659574468085107,5.0,0.723404255319149,1.425531914893617,10.27659574468085,18.34042553191489,56.03248259860789,3.3191489361702127,1.9787234042553192,4.893617021276596,6.531914893617022,7.1063829787234045,91.91616766467064,40.434782608695656,75
Jalen Duren,9.134328358208956,8.880597014925373,1.1194029850746268,0.6567164179104478,0.8805970149253731,3.850746268656717,5.940298507462686,64.82412060301507,1.373134328358209,0.0,0.0298507462686567,1.4328358208955223,2.343283582089552,61.14649681528663,0.0,75
Tari Eason,9.268292682926829,6.048780487804878,1.0731707317073171,1.170731707317073,0.573170731707317,3.609756097560976,8.048780487804878,44.84848484848485,1.2317073170731707,0.7195121951219512,2.097560975609756,1.329268292682927,1.7682926829268293,75.17241379310346,34.30232558139535,75
Anthony Edwards,24.632911392405063,5.79746835443038,4.430379746835443,1.5822784810126582,0.7341772151898734,8.949367088607595,19.50632911392405,45.87929915639196,3.278481012658228,2.6962025316455698,7.3164556962025316,4.037974683544304,5.341772151898734,75.59241706161137,36.85121107266436,75
Joel Embiid,33.07575757575758,10.151515151515152,4.151515151515151,1.0,1.696969696969697,11.030303030303031,20.12121212121212,54.81927710843374,3.4242424242424243,1.0,3.0303030303030303,10.015151515151516,11.681818181818182,85.73281452658885,33.0,75
Drew Eubanks,6.641025641025641,5.358974358974359,1.3205128205128205,0.5128205128205128,1.3076923076923077,2.743589743589744,4.282051282051282,64.07185628742515,0.8589743589743589,0.0897435897435897,0.2307692307692307,1.064102564102564,1.6025641025641026,66.39999999999999,38.88888888888889,75
Dorian Finney-Smith,8.348484848484848,4.787878787878788,1.5151515151515151,0.8333333333333334,0.5454545454545454,2.9696969696969697,7.590909090909091,39.12175648702595,0.9393939393939394,1.7272727272727273,5.121212121212121,0.6818181818181818,0.8939393939393939,76.27118644067797,33.72781065088758,75
De'Aaron Fox,25.013698630136982,4.191780821917808,6.123287671232877,1.1369863013698631,0.3150684931506849,9.342465753424657,18.232876712328768,51.2396694214876,2.4794520547945207,1.63013698630137,5.027397260273973,4.698630136986301,6.027397260273973,77.95454545454544,32.42506811989101,75
Markelle Fultz,13.95,3.9,5.683333333333334,1.45,0.4333333333333333,5.816666666666666,11.316666666666666,51.39911634756995,2.316666666666667,0.45,1.45,1.8666666666666667,2.3833333333333333,78.32167832167832,31.03448275862069,75
Daniel Gafford,9.038461538461538,5.551282051282051,1.0769230769230769,0.4230769230769231,1.2692307692307692,3.705128205128205,5.064102564102564,73.16455696202532,1.0897435897435896,0.0,0.0,1.6282051282051282,2.3974358974358974,67.9144385026738,0.0,75
Darius Garland,21.594202898550726,2.681159420289855,7.797101449275362,1.2318840579710144,0.1304347826086956,7.565217391304348,16.36231884057971,46.2356067316209,2.8840579710144927,2.449275362318841,5.971014492753623,4.0144927536231885,4.652173913043479,86.29283489096574,41.01941747572816,75
Paul George,23.785714285714285,6.107142857142857,5.142857142857143,1.4821428571428572,0.3571428571428571,8.196428571428571,17.928571428571427,45.71713147410359,3.142857142857143,2.821428571428572,7.607142857142857,4.571428571428571,5.25,87.07482993197279,37.08920187793427,75
Josh Giddey,16.57894736842105,7.881578947368421,6.171052631578948,0.75,0.4078947368421052,7.092105263157895,14.710526315789474,48.211091234347045,2.776315789473684,1.0,3.0789473684210527,1.394736842105263,1.9078947368421053,73.10344827586206,32.47863247863248,75
Shai Gilgeous-Alexander,31.397058823529413,4.838235294117647,5.455882352941177,1.6470588235294117,0.9558823529411764,10.352941176470589,20.308823529411764,50.97755249818972,2.823529411764706,0.8529411764705882,2.4705882352941178,9.838235294117649,10.867647058823527,90.5277401894452,34.523809523809526,75
Jacob Gilyard,3.0,4.0,7.0,3.0,0.0,1.0,3.0,33.33333333333333,2.0,1.0,3.0,0.0,0.0,0.0,33.33333333333333,75
Rudy Gobert,13.414285714285716,11.628571428571428,1.2428571428571429,0.8,1.3571428571428572,5.142857142857143,7.8,65.93406593406594,1.7428571428571429,0.0,0.0428571428571428,3.128571428571429,4.857142857142857,64.41176470588236,0.0,75
Aaron Gordon,16.308823529411764,6.5588235294117645,2.985294117647059,0.7941176470588235,0.75,6.3088235294117645,11.191176470588236,56.37319316688567,1.4411764705882353,0.8823529411764706,2.544117647058824,2.8088235294117645,4.617647058823529,60.828025477707,34.68208092485549,75
